Customer ID,age,Product Name,Product Type,Description,Sport,Product ID
CID133,60,Baseball Caps (Team Custom),Hats,Customizable baseball caps to show team spirit.,baseball,PID015
CID134,28,Fresh Feet Deodorizer Spray,Deodorizer,Eliminates unpleasant odors from basketball shoes.,basketball,PID062
CID135,54,PowerShot Hockey Puck,Puck,Regulation-sized hockey puck for professional-grade performance.,hockey,PID025
CID136,43,HandBlaze Warmers (Reusable),Warm Up,Reusable hand warmers to keep hands warm during cold weather games.,basketball,PID055
CID137,26,GripForce,Socks,High-performance socks with moisture-wicking technology and targeted cushioning for comfort and support.,soccer,PID001
CID138,20,Aluminum Bat X300,Bat,Durable and lightweight aluminum bat for developing young baseball players.,baseball,PID011
CID139,62,Finger Flex Sleeves (4-Pack),Support,Set of supportive finger sleeves to protect against injuries.,basketball,PID053
CID140,49,Catcher's Mitt X,Mitt,Well-padded catcher's mitt for comfortable wear and superior impact protection.,baseball,PID010
CID141,32,eScore Portable Scoreboard,Equipment,Portable scoreboard for keeping track of points during games or practice.,basketball,PID052
CID142,62,Arc Shot Compression Sleeve,Sleeve,Compression sleeve for promoting blood flow and reducing muscle fatigue during shooting.,basketball,PID060
CID143,29,TravelStar Folding Basketball,Ball,Foldable basketball for convenient storage and portability on the go.,basketball,PID063
CID143,29,Sand Blaster Bunker Rake,Bunker Rake,Tool for smoothing sand in bunkers,golf,PID040
CID143,29,Aluminum Bat X300,Bat,Durable and lightweight aluminum bat for developing young baseball players.,baseball,PID011
CID143,29,Greenkeeper Ball Retriever,Ball Retriever,Tool to retrieve golf balls from water hazards,golf,PID033
CID143,29,Laser Line Putting Laser,Putting Laser,Projects a laser line to aid putting alignment,golf,PID043
CID143,29,IceShield Shin Guards,Shin Guards,Durable shin guards with impact-absorbing padding for optimal protection.,hockey,PID020
CID144,36,AirRise Portable Basketball Hoop,Hoop,Portable basketball hoop with an inflatable base for easy setup and storage.,basketball,PID056
CID144,36,Batting Tee,Training Aid,Adjustable height batting tee for practicing swings and improving hitting technique.,baseball,PID012
CID144,36,SkyBounce Basketball by Triple Threat,Ball,Competition-grade basketball with exceptional grip and consistent bounce.,basketball,PID049
CID144,36,Flight Path Alignment Sticks (Set of 3),Alignment Sticks,Rods used to visualize clubface and swing path,golf,PID041
CID144,36,TravelStar Folding Basketball,Ball,Foldable basketball for convenient storage and portability on the go.,basketball,PID063
CID144,36,Finger Flex Sleeves (4-Pack),Support,Set of supportive finger sleeves to protect against injuries.,basketball,PID053
CID145,48,Net Guardian Hockey Net,Net,Durable hockey net designed to withstand powerful slapshots.,hockey,PID026
CID146,53,Net Guardian Hockey Net,Net,Durable hockey net designed to withstand powerful slapshots.,hockey,PID026
CID147,51,GripForce,Socks,High-performance socks with moisture-wicking technology and targeted cushioning for comfort and support.,soccer,PID001
CID148,54,Titan X,Shin Guards,Lightweight and breathable shin guards with impact-absorbing padding for optimal protection.,soccer,PID000
CID149,26,Agility Pro (Set of 10),Training Aid,Set of brightly colored cones for creating drills and improving agility.,soccer,PID004
CID150,48,CrossOver Magic Dribbling Aid,Training Aid,Hand-held training aid to improve dribbling skills and ball handling.,basketball,PID050
CID151,28,Zen Putting Green (Indoor),Putting Green,Artificial turf for practicing putting,golf,PID038
CID151,28,Sure-Strike Impact Mat,Practice Mat,Mat for practicing hitting golf balls,golf,PID037
CID151,28,Arc Shot Compression Sleeve,Sleeve,Compression sleeve for promoting blood flow and reducing muscle fatigue during shooting.,basketball,PID060
CID151,28,Baseball Cleats (Metal),Cleats,Metal cleats for maximum traction on dirt fields.,baseball,PID016
CID151,28,Mini Hoop (Size 6),Ball,Smaller sized basketball for younger players to develop proper grip and shooting mechanics.,basketball,PID065
CID151,28,Smooth Stroke Putting Cup,Putting Cup,Training aid to improve putting accuracy,golf,PID042
CID151,28,Baseball Caps (Team Custom),Hats,Customizable baseball caps to show team spirit.,baseball,PID015
CID151,28,BackCourt Back Support by Rebound RX,Support,Breathable back support for improved posture and pain relief.,basketball,PID048
CID152,45,AirRise Portable Basketball Hoop,Hoop,Portable basketball hoop with an inflatable base for easy setup and storage.,basketball,PID056
CID153,30,Drive Master Irons (Set of 7),Iron Set,Golf clubs for long-distance shots,golf,PID027
CID153,30,Sand Blaster Bunker Rake,Bunker Rake,Tool for smoothing sand in bunkers,golf,PID040
CID153,30,QuickStrike Performance Shorts,Shorts,Lightweight and moisture-wicking shorts for optimal comfort and performance.,basketball,PID059
CID154,50,Baseball Cleats (Metal),Cleats,Metal cleats for maximum traction on dirt fields.,baseball,PID016
CID154,50,Aqua-Grip Golf Gloves,Golf Gloves,Improve grip on the club,golf,PID035
CID154,50,TrueFit Shoulder Pads,Pads,Adjustable shoulder pads for a comfortable and secure fit.,hockey,PID023
CID154,50,Smooth Stroke Putting Cup,Putting Cup,Training aid to improve putting accuracy,golf,PID042
CID154,50,Mini Defender,Shin Guards,Smaller sized shin guards designed for optimal protection and comfort for young players.,soccer,PID008
CID155,18,Greenkeeper Ball Retriever,Ball Retriever,Tool to retrieve golf balls from water hazards,golf,PID033
CID156,62,Mini Defender,Shin Guards,Smaller sized shin guards designed for optimal protection and comfort for young players.,soccer,PID008
CID157,34,Tour Champ Ball Marker Set,Ball Markers,Small discs used to mark the position of a golf ball,golf,PID046
CID158,33,GripZone Enhancer Spray,Grip,Spray-on solution for enhancing grip on the basketball for improved control.,basketball,PID054
CID159,33,Pitching Target Net,Net,Portable net for practicing pitching accuracy and pitch development.,baseball,PID017
CID159,33,Sliding Shorts,Pants,Padded sliding shorts for protection during slides into bases.,baseball,PID018
CID160,48,SkyBounce Basketball by Triple Threat,Ball,Competition-grade basketball with exceptional grip and consistent bounce.,basketball,PID049
CID160,48,Grip Master Practice Swing Tool,Swing Trainer,Tool to strengthen grip muscles,golf,PID045
CID161,33,Cyclone Spin Wedges (Set of 4),Wedge Set,Golf clubs for short-distance shots with high spin,golf,PID030
CID162,49,Kinetix Knee Brace X,Support,High-performance knee brace for added support and protection during play.,basketball,PID057
CID162,49,Sliding Shorts,Pants,Padded sliding shorts for protection during slides into bases.,baseball,PID018
CID163,44,DuraNet (Set of 4),Equipment,Heavy-duty corner flags with weighted bases for secure positioning and weather resistance.,soccer,PID006
CID164,43,GripZone Enhancer Spray,Grip,Spray-on solution for enhancing grip on the basketball for improved control.,basketball,PID054
CID165,23,Tour Champ Ball Marker Set,Ball Markers,Small discs used to mark the position of a golf ball,golf,PID046
CID166,29,Batting Tee,Training Aid,Adjustable height batting tee for practicing swings and improving hitting technique.,baseball,PID012
CID167,17,X-Factor Hockey Helmet,Helmet,High-impact hockey helmet with superior ventilation for maximum comfort and safety.,hockey,PID024
CID168,46,Frostbite Hockey Gloves,Gloves,Thermally insulated hockey gloves for superior comfort and grip in cold arenas.,hockey,PID021
CID169,19,SkyBounce Basketball by Triple Threat,Ball,Competition-grade basketball with exceptional grip and consistent bounce.,basketball,PID049
CID170,38,Catcher's Mitt X,Mitt,Well-padded catcher's mitt for comfortable wear and superior impact protection.,baseball,PID010
CID171,53,TrueFit Shoulder Pads,Pads,Adjustable shoulder pads for a comfortable and secure fit.,hockey,PID023
CID171,53,Cyclone Spin Wedges (Set of 4),Wedge Set,Golf clubs for short-distance shots with high spin,golf,PID030
CID171,53,eScore Portable Scoreboard,Equipment,Portable scoreboard for keeping track of points during games or practice.,basketball,PID052
CID171,53,BackCourt Back Support by Rebound RX,Support,Breathable back support for improved posture and pain relief.,basketball,PID048
CID171,53,Sky High Distance Balls (Dozen),Golf Balls,High-performance balls for maximum distance,golf,PID044
CID172,39,SonicWind Hockey Stick,Stick,Lightweight and responsive hockey stick for optimal performance on the ice.,hockey,PID019
CID172,39,HandBlaze Warmers (Reusable),Warm Up,Reusable hand warmers to keep hands warm during cold weather games.,basketball,PID055
CID172,39,Net Guardian Hockey Net,Net,Durable hockey net designed to withstand powerful slapshots.,hockey,PID026
CID173,62,Smooth Stroke Putting Cup,Putting Cup,Training aid to improve putting accuracy,golf,PID042
CID174,18,X-Factor Hockey Helmet,Helmet,High-impact hockey helmet with superior ventilation for maximum comfort and safety.,hockey,PID024
CID175,47,BackCourt Back Support by Rebound RX,Support,Breathable back support for improved posture and pain relief.,basketball,PID048
CID176,43,Sonic Blast,Whistle,High-pitched whistle with a clear and loud sound for effective communication on the field.,soccer,PID005
CID177,38,Tempest Waterproof Jacket,Golf Jacket,Waterproof jacket for playing in wet conditions,golf,PID036
CID178,51,Tour Lite Stand Bag,Golf Bag,Portable bag to carry golf clubs,golf,PID031
CID178,51,Arc Shot Compression Sleeve,Sleeve,Compression sleeve for promoting blood flow and reducing muscle fatigue during shooting.,basketball,PID060
CID179,47,Sand Blaster Bunker Rake,Bunker Rake,Tool for smoothing sand in bunkers,golf,PID040
CID180,35,Sliding Shorts,Pants,Padded sliding shorts for protection during slides into bases.,baseball,PID018
CID180,35,Hydration Hero,Hydration,Lightweight and insulated backpack with a hydration bladder for keeping players hydrated during training and games.,soccer,PID007
CID180,35,Hawkkeye Putting Putter,Putter,Golf club for putting on the green,golf,PID028
CID180,35,HandBlaze Warmers (Reusable),Warm Up,Reusable hand warmers to keep hands warm during cold weather games.,basketball,PID055
CID180,35,IceShield Shin Guards,Shin Guards,Durable shin guards with impact-absorbing padding for optimal protection.,hockey,PID020
CID180,35,Tempest Waterproof Jacket,Golf Jacket,Waterproof jacket for playing in wet conditions,golf,PID036
CID180,35,Smooth Stroke Putting Cup,Putting Cup,Training aid to improve putting accuracy,golf,PID042
CID180,35,Mini Hoop (Size 6),Ball,Smaller sized basketball for younger players to develop proper grip and shooting mechanics.,basketball,PID065
CID180,35,Pro Touch,Ball,Durable training soccer ball with a textured surface for improved ball control and touch.,soccer,PID002
CID181,29,Baseball Cleats (Metal),Cleats,Metal cleats for maximum traction on dirt fields.,baseball,PID016
CID181,29,Air Master,Equipment,Portable and easy-to-use ball pump with a pressure gauge for inflating soccer balls to the desired pressure.,soccer,PID009
CID181,29,Sky High Distance Balls (Dozen),Golf Balls,High-performance balls for maximum distance,golf,PID044
CID181,29,eScore Portable Scoreboard,Equipment,Portable scoreboard for keeping track of points during games or practice.,basketball,PID052
CID181,29,SkyBounce Basketball by Triple Threat,Ball,Competition-grade basketball with exceptional grip and consistent bounce.,basketball,PID049
CID182,50,Baseball Caps (Team Custom),Hats,Customizable baseball caps to show team spirit.,baseball,PID015
CID183,32,GripForce,Socks,High-performance socks with moisture-wicking technology and targeted cushioning for comfort and support.,soccer,PID001
CID184,44,Flight Path Alignment Sticks (Set of 3),Alignment Sticks,Rods used to visualize clubface and swing path,golf,PID041
CID185,62,Sliding Shorts,Pants,Padded sliding shorts for protection during slides into bases.,baseball,PID018
CID185,62,Batting Tee,Training Aid,Adjustable height batting tee for practicing swings and improving hitting technique.,baseball,PID012
CID185,62,TrueFit Shoulder Pads,Pads,Adjustable shoulder pads for a comfortable and secure fit.,hockey,PID023
CID185,62,Sky High Distance Balls (Dozen),Golf Balls,High-performance balls for maximum distance,golf,PID044
CID185,62,Greenkeeper Ball Retriever,Ball Retriever,Tool to retrieve golf balls from water hazards,golf,PID033
CID185,62,Baseball Backpack,Bag,Durable backpack with compartments for storing baseball equipment.,baseball,PID014
CID185,62,Net Guardian Hockey Net,Net,Durable hockey net designed to withstand powerful slapshots.,hockey,PID026
CID185,62,Titan X,Shin Guards,Lightweight and breathable shin guards with impact-absorbing padding for optimal protection.,soccer,PID000
CID185,62,TravelStar Folding Basketball,Ball,Foldable basketball for convenient storage and portability on the go.,basketball,PID063
CID186,62,GripForce,Socks,High-performance socks with moisture-wicking technology and targeted cushioning for comfort and support.,soccer,PID001
CID187,46,Eagle Grip,Gloves,Premium goalkeeper gloves with exceptional grip and finger protection for confident saves.,soccer,PID003
CID188,15,Sand Blaster Bunker Rake,Bunker Rake,Tool for smoothing sand in bunkers,golf,PID040
CID188,15,Power Swing Training Aid,Swing Trainer,Tool to improve golf swing mechanics,golf,PID039
CID188,15,Finger Flex Sleeves (4-Pack),Support,Set of supportive finger sleeves to protect against injuries.,basketball,PID053
CID188,15,Catcher's Mitt X,Mitt,Well-padded catcher's mitt for comfortable wear and superior impact protection.,baseball,PID010
CID188,15,Grip Master Practice Swing Tool,Swing Trainer,Tool to strengthen grip muscles,golf,PID045
CID188,15,Batting Tee,Training Aid,Adjustable height batting tee for practicing swings and improving hitting technique.,baseball,PID012
CID188,15,SonicWind Hockey Stick,Stick,Lightweight and responsive hockey stick for optimal performance on the ice.,hockey,PID019
CID188,15,Net Guardian Hockey Net,Net,Durable hockey net designed to withstand powerful slapshots.,hockey,PID026
CID189,50,Aluminum Bat X300,Bat,Durable and lightweight aluminum bat for developing young baseball players.,baseball,PID011
CID190,40,Baseball Cleats (Metal),Cleats,Metal cleats for maximum traction on dirt fields.,baseball,PID016
CID191,43,eScore Portable Scoreboard,Equipment,Portable scoreboard for keeping track of points during games or practice.,basketball,PID052
CID192,51,Baseball Backpack,Bag,Durable backpack with compartments for storing baseball equipment.,baseball,PID014
CID193,56,Eagle Grip,Gloves,Premium goalkeeper gloves with exceptional grip and finger protection for confident saves.,soccer,PID003
CID194,28,PowerShot Hockey Puck,Puck,Regulation-sized hockey puck for professional-grade performance.,hockey,PID025
CID195,52,TrueFit Shoulder Pads,Pads,Adjustable shoulder pads for a comfortable and secure fit.,hockey,PID023
CID196,63,Aluminum Bat X300,Bat,Durable and lightweight aluminum bat for developing young baseball players.,baseball,PID011
CID196,63,Greenkeeper Ball Retriever,Ball Retriever,Tool to retrieve golf balls from water hazards,golf,PID033
CID196,63,SweatStopper Wristbands,Sweatband,Absorbent wristbands to keep sweat out of your eyes during play.,basketball,PID064
CID197,48,DuraNet (Set of 4),Equipment,Heavy-duty corner flags with weighted bases for secure positioning and weather resistance.,soccer,PID006
CID198,37,Tempest Waterproof Jacket,Golf Jacket,Waterproof jacket for playing in wet conditions,golf,PID036
CID198,37,Fresh Feet Deodorizer Spray,Deodorizer,Eliminates unpleasant odors from basketball shoes.,basketball,PID062
CID198,37,Baseball Caps (Team Custom),Hats,Customizable baseball caps to show team spirit.,baseball,PID015
CID199,39,Aero X Distance Driver,Driver,Golf club for the longest distance shots,golf,PID029
CID200,40,Agility Pro (Set of 10),Training Aid,Set of brightly colored cones for creating drills and improving agility.,soccer,PID004
CID201,16,Tempest Waterproof Jacket,Golf Jacket,Waterproof jacket for playing in wet conditions,golf,PID036
CID202,44,TrueFit Shoulder Pads,Pads,Adjustable shoulder pads for a comfortable and secure fit.,hockey,PID023
CID203,45,Kinetix Knee Brace X,Support,High-performance knee brace for added support and protection during play.,basketball,PID057
CID204,64,Aero X Distance Driver,Driver,Golf club for the longest distance shots,golf,PID029
CID204,64,Whisper Quiet Cart Umbrella,Golf Umbrella,Large umbrella designed for use on a golf cart,golf,PID032
CID204,64,HandBlaze Warmers (Reusable),Warm Up,Reusable hand warmers to keep hands warm during cold weather games.,basketball,PID055
CID204,64,Eagle Eye Rangefinder,Rangefinder,Device to measure distance to the green,golf,PID034
CID204,64,eScore Portable Scoreboard,Equipment,Portable scoreboard for keeping track of points during games or practice.,basketball,PID052
CID204,64,X-Factor Hockey Helmet,Helmet,High-impact hockey helmet with superior ventilation for maximum comfort and safety.,hockey,PID024
CID205,25,Flight Path Alignment Sticks (Set of 3),Alignment Sticks,Rods used to visualize clubface and swing path,golf,PID041
CID206,49,GripForce,Socks,High-performance socks with moisture-wicking technology and targeted cushioning for comfort and support.,soccer,PID001
CID207,41,IceShield Shin Guards,Shin Guards,Durable shin guards with impact-absorbing padding for optimal protection.,hockey,PID020
CID207,41,Sonic Blast,Whistle,High-pitched whistle with a clear and loud sound for effective communication on the field.,soccer,PID005
CID207,41,CrossOver Magic Dribbling Aid,Training Aid,Hand-held training aid to improve dribbling skills and ball handling.,basketball,PID050
CID207,41,Sky High Distance Balls (Dozen),Golf Balls,High-performance balls for maximum distance,golf,PID044
CID207,41,Whisper Quiet Cart Umbrella,Golf Umbrella,Large umbrella designed for use on a golf cart,golf,PID032
CID207,41,TravelStar Folding Basketball,Ball,Foldable basketball for convenient storage and portability on the go.,basketball,PID063
CID207,41,Aero X Distance Driver,Driver,Golf club for the longest distance shots,golf,PID029
CID208,42,GripForce,Socks,High-performance socks with moisture-wicking technology and targeted cushioning for comfort and support.,soccer,PID001
CID209,54,Whisper Quiet Cart Umbrella,Golf Umbrella,Large umbrella designed for use on a golf cart,golf,PID032
CID210,39,Frostbite Hockey Gloves,Gloves,Thermally insulated hockey gloves for superior comfort and grip in cold arenas.,hockey,PID021
CID211,45,Tour Champ Ball Marker Set,Ball Markers,Small discs used to mark the position of a golf ball,golf,PID046
CID212,38,Grip Master Practice Swing Tool,Swing Trainer,Tool to strengthen grip muscles,golf,PID045
CID213,37,Baseball Backpack,Bag,Durable backpack with compartments for storing baseball equipment.,baseball,PID014
CID214,50,SonicWind Hockey Stick,Stick,Lightweight and responsive hockey stick for optimal performance on the ice.,hockey,PID019
CID214,50,Air Master,Equipment,Portable and easy-to-use ball pump with a pressure gauge for inflating soccer balls to the desired pressure.,soccer,PID009
CID215,33,Sliding Shorts,Pants,Padded sliding shorts for protection during slides into bases.,baseball,PID018
CID216,35,IceShield Shin Guards,Shin Guards,Durable shin guards with impact-absorbing padding for optimal protection.,hockey,PID020
CID217,50,Sure-Strike Impact Mat,Practice Mat,Mat for practicing hitting golf balls,golf,PID037
CID218,27,QuickStrike Performance Shorts,Shorts,Lightweight and moisture-wicking shorts for optimal comfort and performance.,basketball,PID059
CID219,28,Arc Shot Compression Sleeve,Sleeve,Compression sleeve for promoting blood flow and reducing muscle fatigue during shooting.,basketball,PID060
CID220,64,Agility Pro (Set of 10),Training Aid,Set of brightly colored cones for creating drills and improving agility.,soccer,PID004
CID221,33,Eagle Grip,Gloves,Premium goalkeeper gloves with exceptional grip and finger protection for confident saves.,soccer,PID003
CID222,17,TravelStar Folding Basketball,Ball,Foldable basketball for convenient storage and portability on the go.,basketball,PID063
CID222,17,GripForce,Socks,High-performance socks with moisture-wicking technology and targeted cushioning for comfort and support.,soccer,PID001
CID222,17,Pitching Target Net,Net,Portable net for practicing pitching accuracy and pitch development.,baseball,PID017
CID222,17,IceShield Shin Guards,Shin Guards,Durable shin guards with impact-absorbing padding for optimal protection.,hockey,PID020
CID222,17,X-Factor Hockey Helmet,Helmet,High-impact hockey helmet with superior ventilation for maximum comfort and safety.,hockey,PID024
CID222,17,BackCourt Back Support by Rebound RX,Support,Breathable back support for improved posture and pain relief.,basketball,PID048
CID222,17,CrossOver Magic Dribbling Aid,Training Aid,Hand-held training aid to improve dribbling skills and ball handling.,basketball,PID050
CID222,17,QuickStrike Performance Shorts,Shorts,Lightweight and moisture-wicking shorts for optimal comfort and performance.,basketball,PID059
CID222,17,Sand Blaster Bunker Rake,Bunker Rake,Tool for smoothing sand in bunkers,golf,PID040
CID223,50,Mini Defender,Shin Guards,Smaller sized shin guards designed for optimal protection and comfort for young players.,soccer,PID008
CID224,41,Baseball Backpack,Bag,Durable backpack with compartments for storing baseball equipment.,baseball,PID014
CID225,48,AirRise Portable Basketball Hoop,Hoop,Portable basketball hoop with an inflatable base for easy setup and storage.,basketball,PID056
CID226,35,Hawkkeye Putting Putter,Putter,Golf club for putting on the green,golf,PID028
CID227,42,IceShield Shin Guards,Shin Guards,Durable shin guards with impact-absorbing padding for optimal protection.,hockey,PID020
CID228,21,Batting Tee,Training Aid,Adjustable height batting tee for practicing swings and improving hitting technique.,baseball,PID012
CID229,62,Fresh Feet Deodorizer Spray,Deodorizer,Eliminates unpleasant odors from basketball shoes.,basketball,PID062
CID230,22,PowerShot Hockey Puck,Puck,Regulation-sized hockey puck for professional-grade performance.,hockey,PID025
CID231,61,TravelStar Folding Basketball,Ball,Foldable basketball for convenient storage and portability on the go.,basketball,PID063
CID232,41,Grip Master Practice Swing Tool,Swing Trainer,Tool to strengthen grip muscles,golf,PID045
CID232,41,Finger Flex Sleeves (4-Pack),Support,Set of supportive finger sleeves to protect against injuries.,basketball,PID053
CID233,60,HyperFlex Elbow Pads,Pads,Flexible and lightweight elbow pads for unrestricted movement and enhanced protection.,hockey,PID022
CID234,54,Hydration Hero,Hydration,Lightweight and insulated backpack with a hydration bladder for keeping players hydrated during training and games.,soccer,PID007
CID235,32,QuickStrike Performance Shorts,Shorts,Lightweight and moisture-wicking shorts for optimal comfort and performance.,basketball,PID059
CID236,63,AnkleShield Pro by AirStride,Support,Adjustable ankle brace for added stability and support during play.,basketball,PID047
CID237,19,Tour Lite Stand Bag,Golf Bag,Portable bag to carry golf clubs,golf,PID031
CID238,60,Aero X Distance Driver,Driver,Golf club for the longest distance shots,golf,PID029
CID239,59,TrueFit Shoulder Pads,Pads,Adjustable shoulder pads for a comfortable and secure fit.,hockey,PID023
CID240,46,Air Master,Equipment,Portable and easy-to-use ball pump with a pressure gauge for inflating soccer balls to the desired pressure.,soccer,PID009
CID241,59,TravelStar Folding Basketball,Ball,Foldable basketball for convenient storage and portability on the go.,basketball,PID063
CID242,21,CrossOver Magic Dribbling Aid,Training Aid,Hand-held training aid to improve dribbling skills and ball handling.,basketball,PID050
CID243,46,Hawkkeye Putting Putter,Putter,Golf club for putting on the green,golf,PID028
CID244,40,Sky High Distance Balls (Dozen),Golf Balls,High-performance balls for maximum distance,golf,PID044
CID245,58,Air Master,Equipment,Portable and easy-to-use ball pump with a pressure gauge for inflating soccer balls to the desired pressure.,soccer,PID009
CID245,58,AirRise Portable Basketball Hoop,Hoop,Portable basketball hoop with an inflatable base for easy setup and storage.,basketball,PID056
CID245,58,FreeFlow Shooting Shirt,Shirt,Comfortable shooting shirt with a relaxed fit for unrestricted movement.,basketball,PID061
CID245,58,Team Spirit Mesh Jersey (Customizable),Jersey,Breathable and customizable mesh jersey for showcasing team spirit or individual style.,basketball,PID058
CID245,58,Flight Path Alignment Sticks (Set of 3),Alignment Sticks,Rods used to visualize clubface and swing path,golf,PID041
CID246,44,Sand Blaster Bunker Rake,Bunker Rake,Tool for smoothing sand in bunkers,golf,PID040
CID247,45,HandBlaze Warmers (Reusable),Warm Up,Reusable hand warmers to keep hands warm during cold weather games.,basketball,PID055
CID248,19,Sonic Blast,Whistle,High-pitched whistle with a clear and loud sound for effective communication on the field.,soccer,PID005
CID249,29,Aero X Distance Driver,Driver,Golf club for the longest distance shots,golf,PID029
CID250,54,Aero X Distance Driver,Driver,Golf club for the longest distance shots,golf,PID029
CID251,54,Mini Defender,Shin Guards,Smaller sized shin guards designed for optimal protection and comfort for young players.,soccer,PID008
CID252,17,Whisper Quiet Cart Umbrella,Golf Umbrella,Large umbrella designed for use on a golf cart,golf,PID032
CID253,26,Sure-Strike Impact Mat,Practice Mat,Mat for practicing hitting golf balls,golf,PID037
CID254,61,Zen Putting Green (Indoor),Putting Green,Artificial turf for practicing putting,golf,PID038
CID255,23,Batting Tee,Training Aid,Adjustable height batting tee for practicing swings and improving hitting technique.,baseball,PID012
CID256,27,Power Swing Training Aid,Swing Trainer,Tool to improve golf swing mechanics,golf,PID039
CID257,20,Sure-Strike Impact Mat,Practice Mat,Mat for practicing hitting golf balls,golf,PID037
CID257,20,Finger Flex Sleeves (4-Pack),Support,Set of supportive finger sleeves to protect against injuries.,basketball,PID053
CID257,20,DuraNet (Set of 4),Equipment,Heavy-duty corner flags with weighted bases for secure positioning and weather resistance.,soccer,PID006
CID258,53,AnkleShield Pro by AirStride,Support,Adjustable ankle brace for added stability and support during play.,basketball,PID047
CID258,53,Catcher's Mitt X,Mitt,Well-padded catcher's mitt for comfortable wear and superior impact protection.,baseball,PID010
CID258,53,Finger Flex Sleeves (4-Pack),Support,Set of supportive finger sleeves to protect against injuries.,basketball,PID053
CID258,53,Mini Hoop (Size 6),Ball,Smaller sized basketball for younger players to develop proper grip and shooting mechanics.,basketball,PID065
CID258,53,Frostbite Hockey Gloves,Gloves,Thermally insulated hockey gloves for superior comfort and grip in cold arenas.,hockey,PID021
CID258,53,Net Guardian Hockey Net,Net,Durable hockey net designed to withstand powerful slapshots.,hockey,PID026
CID259,46,Hydration Hero,Hydration,Lightweight and insulated backpack with a hydration bladder for keeping players hydrated during training and games.,soccer,PID007
CID260,29,Flight Path Alignment Sticks (Set of 3),Alignment Sticks,Rods used to visualize clubface and swing path,golf,PID041
CID261,64,SonicWind Hockey Stick,Stick,Lightweight and responsive hockey stick for optimal performance on the ice.,hockey,PID019
CID261,64,Pro Touch,Ball,Durable training soccer ball with a textured surface for improved ball control and touch.,soccer,PID002
CID261,64,Whisper Quiet Cart Umbrella,Golf Umbrella,Large umbrella designed for use on a golf cart,golf,PID032
CID261,64,SkyBounce Basketball by Triple Threat,Ball,Competition-grade basketball with exceptional grip and consistent bounce.,basketball,PID049
CID261,64,Aero X Distance Driver,Driver,Golf club for the longest distance shots,golf,PID029
CID261,64,Pitching Target Net,Net,Portable net for practicing pitching accuracy and pitch development.,baseball,PID017
CID261,64,Tour Champ Ball Marker Set,Ball Markers,Small discs used to mark the position of a golf ball,golf,PID046
CID261,64,Mini Hoop (Size 6),Ball,Smaller sized basketball for younger players to develop proper grip and shooting mechanics.,basketball,PID065
CID261,64,PowerShot Hockey Puck,Puck,Regulation-sized hockey puck for professional-grade performance.,hockey,PID025
CID262,27,Eagle Grip,Gloves,Premium goalkeeper gloves with exceptional grip and finger protection for confident saves.,soccer,PID003
CID263,58,Mini Defender,Shin Guards,Smaller sized shin guards designed for optimal protection and comfort for young players.,soccer,PID008
CID264,54,GripZone Enhancer Spray,Grip,Spray-on solution for enhancing grip on the basketball for improved control.,basketball,PID054
CID265,39,Flight Path Alignment Sticks (Set of 3),Alignment Sticks,Rods used to visualize clubface and swing path,golf,PID041
CID265,39,TravelStar Folding Basketball,Ball,Foldable basketball for convenient storage and portability on the go.,basketball,PID063
CID266,26,TravelStar Folding Basketball,Ball,Foldable basketball for convenient storage and portability on the go.,basketball,PID063
CID267,47,X-Factor Hockey Helmet,Helmet,High-impact hockey helmet with superior ventilation for maximum comfort and safety.,hockey,PID024
CID268,20,TravelStar Folding Basketball,Ball,Foldable basketball for convenient storage and portability on the go.,basketball,PID063
CID269,46,Eagle Grip,Gloves,Premium goalkeeper gloves with exceptional grip and finger protection for confident saves.,soccer,PID003
CID270,52,Pitching Target Net,Net,Portable net for practicing pitching accuracy and pitch development.,baseball,PID017
CID271,63,FreeFlow Shooting Shirt,Shirt,Comfortable shooting shirt with a relaxed fit for unrestricted movement.,basketball,PID061
CID272,48,AirRise Portable Basketball Hoop,Hoop,Portable basketball hoop with an inflatable base for easy setup and storage.,basketball,PID056
CID273,42,Fresh Feet Deodorizer Spray,Deodorizer,Eliminates unpleasant odors from basketball shoes.,basketball,PID062
CID274,17,Sky High Distance Balls (Dozen),Golf Balls,High-performance balls for maximum distance,golf,PID044
CID274,17,TravelStar Folding Basketball,Ball,Foldable basketball for convenient storage and portability on the go.,basketball,PID063
CID274,17,Double Duty Basketball by Iron Grip,Ball,Slightly heavier basketball for developing strength and shooting power.,basketball,PID051
CID274,17,Tour Lite Stand Bag,Golf Bag,Portable bag to carry golf clubs,golf,PID031
CID274,17,Sliding Shorts,Pants,Padded sliding shorts for protection during slides into bases.,baseball,PID018
CID274,17,Kinetix Knee Brace X,Support,High-performance knee brace for added support and protection during play.,basketball,PID057
CID274,17,SonicWind Hockey Stick,Stick,Lightweight and responsive hockey stick for optimal performance on the ice.,hockey,PID019
CID274,17,Aqua-Grip Golf Gloves,Golf Gloves,Improve grip on the club,golf,PID035
CID274,17,CrossOver Magic Dribbling Aid,Training Aid,Hand-held training aid to improve dribbling skills and ball handling.,basketball,PID050
CID275,48,Sonic Blast,Whistle,High-pitched whistle with a clear and loud sound for effective communication on the field.,soccer,PID005
